Tourist ID,Interés,Desde,Lugar Recomendado,Ciudad,País,Rating
183,Nature,Machu Picchu,Valle Sagrado,Cusco,Perú,4.5
183,Art,Torre Eiffel,Museo de Orsay,París,Francia,4.5
185,Art,Coliseo Romano,Fontana di Trevi,Roma,Italia,4.4
185,Nature,Taj Mahal,Mehtab Bagh,Agra,India,4.0
191,Cultural,Gran Muralla China,Ciudad Prohibida,Pekín,China,4.5
191,Cultural,Gran Muralla China,Templo del Cielo,Pekín,China,4.4
191,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
191,Architecture,Gran Muralla China,Palacio de Verano,Pekín,China,4.3
191,Art,Torre Eiffel,Museo de Orsay,París,Francia,4.5
192,Art,Torre Eiffel,Museo de Orsay,París,Francia,4.5
194,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
194,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
204,Art,Torre Eiffel,Museo de Orsay,París,Francia,4.5
204,Art,Coliseo Romano,Fontana di Trevi,Roma,Italia,4.4
210,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
210,Art,Torre Eiffel,Museo de Orsay,París,Francia,4.5
210,History,Taj Mahal,Fuerte Rojo,Agra,India,4.2
210,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
210,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
210,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
210,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
235,Nature,Taj Mahal,Mehtab Bagh,Agra,India,4.0
241,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
241,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
254,Cultural,Gran Muralla China,Ciudad Prohibida,Pekín,China,4.5
254,Cultural,Gran Muralla China,Templo del Cielo,Pekín,China,4.4
255,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
255,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
257,Art,Coliseo Romano,Fontana di Trevi,Roma,Italia,4.4
257,History,Coliseo Romano,Partenón,Atenas,Grecia,4.5
257,History,Coliseo Romano,Foro Romano,Roma,Italia,4.4
263,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
263,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
263,Nature,Machu Picchu,Valle Sagrado,Cusco,Perú,4.5
266,Cultural,Gran Muralla China,Ciudad Prohibida,Pekín,China,4.5
266,Cultural,Gran Muralla China,Templo del Cielo,Pekín,China,4.4
275,Cultural,Gran Muralla China,Ciudad Prohibida,Pekín,China,4.5
275,Cultural,Gran Muralla China,Templo del Cielo,Pekín,China,4.4
275,History,Taj Mahal,Fuerte Rojo,Agra,India,4.2
281,Architecture,Gran Muralla China,Palacio de Verano,Pekín,China,4.3
282,History,Taj Mahal,Fuerte Rojo,Agra,India,4.2
282,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
282,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
282,History,Coliseo Romano,Partenón,Atenas,Grecia,4.5
282,History,Coliseo Romano,Foro Romano,Roma,Italia,4.4
282,Art,Torre Eiffel,Museo de Orsay,París,Francia,4.5
282,Art,Coliseo Romano,Fontana di Trevi,Roma,Italia,4.4
301,Nature,Taj Mahal,Mehtab Bagh,Agra,India,4.0
301,Nature,Machu Picchu,Valle Sagrado,Cusco,Perú,4.5
306,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
306,Nature,Taj Mahal,Mehtab Bagh,Agra,India,4.0
306,Nature,Machu Picchu,Valle Sagrado,Cusco,Perú,4.5
315,Architecture,Gran Muralla China,Palacio de Verano,Pekín,China,4.3
315,Cultural,Gran Muralla China,Ciudad Prohibida,Pekín,China,4.5
315,Cultural,Gran Muralla China,Templo del Cielo,Pekín,China,4.4
315,Nature,Machu Picchu,Valle Sagrado,Cusco,Perú,4.5
317,History,Taj Mahal,Fuerte Rojo,Agra,India,4.2
317,Nature,Taj Mahal,Mehtab Bagh,Agra,India,4.0
317,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
341,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
341,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
341,Nature,Machu Picchu,Valle Sagrado,Cusco,Perú,4.5
341,Cultural,Gran Muralla China,Ciudad Prohibida,Pekín,China,4.5
341,Cultural,Gran Muralla China,Templo del Cielo,Pekín,China,4.4
349,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
349,Nature,Taj Mahal,Mehtab Bagh,Agra,India,4.0
361,Nature,Taj Mahal,Mehtab Bagh,Agra,India,4.0
361,Nature,Machu Picchu,Valle Sagrado,Cusco,Perú,4.5
361,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
361,Architecture,Gran Muralla China,Palacio de Verano,Pekín,China,4.3
363,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
363,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
363,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
363,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
374,Nature,Machu Picchu,Valle Sagrado,Cusco,Perú,4.5
374,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
374,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
385,History,Coliseo Romano,Partenón,Atenas,Grecia,4.5
385,History,Coliseo Romano,Foro Romano,Roma,Italia,4.4
385,Art,Coliseo Romano,Fontana di Trevi,Roma,Italia,4.4
389,Nature,Machu Picchu,Valle Sagrado,Cusco,Perú,4.5
391,History,Coliseo Romano,Partenón,Atenas,Grecia,4.5
391,History,Coliseo Romano,Foro Romano,Roma,Italia,4.4
391,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
391,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
391,Art,Coliseo Romano,Fontana di Trevi,Roma,Italia,4.4
391,Art,Torre Eiffel,Museo de Orsay,París,Francia,4.5
401,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
401,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
401,History,Taj Mahal,Fuerte Rojo,Agra,India,4.2
404,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
404,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
404,History,Taj Mahal,Fuerte Rojo,Agra,India,4.2
404,Nature,Machu Picchu,Valle Sagrado,Cusco,Perú,4.5
404,Nature,Taj Mahal,Mehtab Bagh,Agra,India,4.0
413,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
413,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
413,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
413,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
417,Art,Torre Eiffel,Museo de Orsay,París,Francia,4.5
417,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
417,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
417,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
417,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
417,History,Taj Mahal,Fuerte Rojo,Agra,India,4.2
429,Architecture,Gran Muralla China,Palacio de Verano,Pekín,China,4.3
438,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
438,Architecture,Gran Muralla China,Palacio de Verano,Pekín,China,4.3
438,Cultural,Gran Muralla China,Ciudad Prohibida,Pekín,China,4.5
438,Cultural,Gran Muralla China,Templo del Cielo,Pekín,China,4.4
441,Nature,Taj Mahal,Mehtab Bagh,Agra,India,4.0
445,Cultural,Gran Muralla China,Ciudad Prohibida,Pekín,China,4.5
445,Cultural,Gran Muralla China,Templo del Cielo,Pekín,China,4.4
445,History,Coliseo Romano,Partenón,Atenas,Grecia,4.5
445,History,Coliseo Romano,Foro Romano,Roma,Italia,4.4
445,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
445,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
448,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
448,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
448,History,Taj Mahal,Fuerte Rojo,Agra,India,4.2
448,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
448,Architecture,Gran Muralla China,Palacio de Verano,Pekín,China,4.3
457,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
457,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
457,Nature,Machu Picchu,Valle Sagrado,Cusco,Perú,4.5
461,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
461,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
461,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
461,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
473,Art,Coliseo Romano,Fontana di Trevi,Roma,Italia,4.4
473,Art,Torre Eiffel,Museo de Orsay,París,Francia,4.5
474,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
474,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
474,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
474,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
479,Nature,Taj Mahal,Mehtab Bagh,Agra,India,4.0
479,Cultural,Gran Muralla China,Ciudad Prohibida,Pekín,China,4.5
479,Cultural,Gran Muralla China,Templo del Cielo,Pekín,China,4.4
489,Nature,Machu Picchu,Valle Sagrado,Cusco,Perú,4.5
504,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
504,Nature,Taj Mahal,Mehtab Bagh,Agra,India,4.0
504,Art,Torre Eiffel,Museo de Orsay,París,Francia,4.5
508,Nature,Taj Mahal,Mehtab Bagh,Agra,India,4.0
514,Art,Torre Eiffel,Museo de Orsay,París,Francia,4.5
514,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
514,History,Taj Mahal,Fuerte Rojo,Agra,India,4.2
514,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
514,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
514,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
514,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
520,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
520,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
520,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
520,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
520,History,Taj Mahal,Fuerte Rojo,Agra,India,4.2
525,Nature,Machu Picchu,Valle Sagrado,Cusco,Perú,4.5
538,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
538,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
538,History,Coliseo Romano,Partenón,Atenas,Grecia,4.5
538,History,Coliseo Romano,Foro Romano,Roma,Italia,4.4
538,History,Taj Mahal,Fuerte Rojo,Agra,India,4.2
538,Nature,Taj Mahal,Mehtab Bagh,Agra,India,4.0
554,Architecture,Gran Muralla China,Palacio de Verano,Pekín,China,4.3
554,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
557,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
557,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
557,History,Taj Mahal,Fuerte Rojo,Agra,India,4.2
557,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
557,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
558,Nature,Taj Mahal,Mehtab Bagh,Agra,India,4.0
558,Art,Torre Eiffel,Museo de Orsay,París,Francia,4.5
572,Art,Torre Eiffel,Museo de Orsay,París,Francia,4.5
572,Nature,Machu Picchu,Valle Sagrado,Cusco,Perú,4.5
572,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
572,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
572,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
572,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
575,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
575,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
575,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
575,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
594,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
604,Art,Torre Eiffel,Museo de Orsay,París,Francia,4.5
604,Art,Coliseo Romano,Fontana di Trevi,Roma,Italia,4.4
607,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
616,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
616,Architecture,Gran Muralla China,Palacio de Verano,Pekín,China,4.3
616,Cultural,Gran Muralla China,Ciudad Prohibida,Pekín,China,4.5
616,Cultural,Gran Muralla China,Templo del Cielo,Pekín,China,4.4
617,Art,Coliseo Romano,Fontana di Trevi,Roma,Italia,4.4
617,Nature,Machu Picchu,Valle Sagrado,Cusco,Perú,4.5
618,Architecture,Gran Muralla China,Palacio de Verano,Pekín,China,4.3
618,History,Coliseo Romano,Partenón,Atenas,Grecia,4.5
618,History,Coliseo Romano,Foro Romano,Roma,Italia,4.4
618,Art,Coliseo Romano,Fontana di Trevi,Roma,Italia,4.4
624,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
624,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
624,History,Taj Mahal,Fuerte Rojo,Agra,India,4.2
625,Nature,Machu Picchu,Valle Sagrado,Cusco,Perú,4.5
625,Nature,Taj Mahal,Mehtab Bagh,Agra,India,4.0
639,Nature,Machu Picchu,Valle Sagrado,Cusco,Perú,4.5
652,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
653,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
655,Cultural,Gran Muralla China,Ciudad Prohibida,Pekín,China,4.5
655,Cultural,Gran Muralla China,Templo del Cielo,Pekín,China,4.4
661,Art,Torre Eiffel,Museo de Orsay,París,Francia,4.5
665,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
665,Architecture,Gran Muralla China,Palacio de Verano,Pekín,China,4.3
665,History,Coliseo Romano,Partenón,Atenas,Grecia,4.5
665,History,Coliseo Romano,Foro Romano,Roma,Italia,4.4
665,History,Taj Mahal,Fuerte Rojo,Agra,India,4.2
679,Cultural,Gran Muralla China,Ciudad Prohibida,Pekín,China,4.5
679,Cultural,Gran Muralla China,Templo del Cielo,Pekín,China,4.4
679,Nature,Machu Picchu,Valle Sagrado,Cusco,Perú,4.5
679,Art,Torre Eiffel,Museo de Orsay,París,Francia,4.5
683,History,Taj Mahal,Fuerte Rojo,Agra,India,4.2
683,Cultural,Gran Muralla China,Ciudad Prohibida,Pekín,China,4.5
683,Cultural,Gran Muralla China,Templo del Cielo,Pekín,China,4.4
690,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
690,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
692,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
692,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
692,History,Coliseo Romano,Partenón,Atenas,Grecia,4.5
692,History,Coliseo Romano,Foro Romano,Roma,Italia,4.4
705,History,Taj Mahal,Fuerte Rojo,Agra,India,4.2
705,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
705,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
705,Cultural,Gran Muralla China,Ciudad Prohibida,Pekín,China,4.5
705,Cultural,Gran Muralla China,Templo del Cielo,Pekín,China,4.4
708,Art,Coliseo Romano,Fontana di Trevi,Roma,Italia,4.4
708,Nature,Taj Mahal,Mehtab Bagh,Agra,India,4.0
708,Nature,Machu Picchu,Valle Sagrado,Cusco,Perú,4.5
708,History,Taj Mahal,Fuerte Rojo,Agra,India,4.2
708,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
708,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
708,History,Coliseo Romano,Partenón,Atenas,Grecia,4.5
708,History,Coliseo Romano,Foro Romano,Roma,Italia,4.4
709,Art,Coliseo Romano,Fontana di Trevi,Roma,Italia,4.4
712,Nature,Machu Picchu,Valle Sagrado,Cusco,Perú,4.5
712,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
712,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
716,History,Taj Mahal,Fuerte Rojo,Agra,India,4.2
716,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
716,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
716,Art,Torre Eiffel,Museo de Orsay,París,Francia,4.5
721,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
721,History,Taj Mahal,Fuerte Rojo,Agra,India,4.2
724,Cultural,Gran Muralla China,Ciudad Prohibida,Pekín,China,4.5
724,Cultural,Gran Muralla China,Templo del Cielo,Pekín,China,4.4
725,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
725,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
725,Art,Torre Eiffel,Museo de Orsay,París,Francia,4.5
727,Art,Torre Eiffel,Museo de Orsay,París,Francia,4.5
730,Nature,Taj Mahal,Mehtab Bagh,Agra,India,4.0
730,Nature,Machu Picchu,Valle Sagrado,Cusco,Perú,4.5
731,Cultural,Gran Muralla China,Ciudad Prohibida,Pekín,China,4.5
731,Cultural,Gran Muralla China,Templo del Cielo,Pekín,China,4.4
732,History,Coliseo Romano,Partenón,Atenas,Grecia,4.5
732,History,Coliseo Romano,Foro Romano,Roma,Italia,4.4
732,History,Taj Mahal,Fuerte Rojo,Agra,India,4.2
734,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
734,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
734,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
734,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
737,Art,Torre Eiffel,Museo de Orsay,París,Francia,4.5
737,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
737,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
740,History,Taj Mahal,Fuerte Rojo,Agra,India,4.2
742,Art,Torre Eiffel,Museo de Orsay,París,Francia,4.5
742,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
742,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
742,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
742,History,Taj Mahal,Fuerte Rojo,Agra,India,4.2
750,Cultural,Gran Muralla China,Ciudad Prohibida,Pekín,China,4.5
750,Cultural,Gran Muralla China,Templo del Cielo,Pekín,China,4.4
750,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
750,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
753,Nature,Taj Mahal,Mehtab Bagh,Agra,India,4.0
763,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
763,Architecture,Gran Muralla China,Palacio de Verano,Pekín,China,4.3
765,Art,Coliseo Romano,Fontana di Trevi,Roma,Italia,4.4
765,Architecture,Gran Muralla China,Palacio de Verano,Pekín,China,4.3
765,Cultural,Gran Muralla China,Ciudad Prohibida,Pekín,China,4.5
765,Cultural,Gran Muralla China,Templo del Cielo,Pekín,China,4.4
780,Architecture,Gran Muralla China,Palacio de Verano,Pekín,China,4.3
780,Art,Coliseo Romano,Fontana di Trevi,Roma,Italia,4.4
780,Nature,Machu Picchu,Valle Sagrado,Cusco,Perú,4.5
788,Cultural,Gran Muralla China,Ciudad Prohibida,Pekín,China,4.5
788,Cultural,Gran Muralla China,Templo del Cielo,Pekín,China,4.4
792,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
792,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
796,Nature,Taj Mahal,Mehtab Bagh,Agra,India,4.0
796,Nature,Machu Picchu,Valle Sagrado,Cusco,Perú,4.5
798,Art,Torre Eiffel,Museo de Orsay,París,Francia,4.5
798,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
798,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
798,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
798,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
800,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
806,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
811,History,Taj Mahal,Fuerte Rojo,Agra,India,4.2
811,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
811,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
811,Nature,Taj Mahal,Mehtab Bagh,Agra,India,4.0
811,Architecture,Gran Muralla China,Palacio de Verano,Pekín,China,4.3
811,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
821,Art,Torre Eiffel,Museo de Orsay,París,Francia,4.5
821,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
821,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
823,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
823,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
824,Nature,Taj Mahal,Mehtab Bagh,Agra,India,4.0
824,Art,Torre Eiffel,Museo de Orsay,París,Francia,4.5
832,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
832,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
832,Nature,Machu Picchu,Valle Sagrado,Cusco,Perú,4.5
843,History,Machu Picchu,Sacsayhuamán,Cusco,Perú,4.3
843,History,Machu Picchu,Ollantaytambo,Cusco,Perú,4.2
843,History,Torre Eiffel,Puerta de Brandemburgo,Berlín,Alemania,4.3
843,History,Torre Eiffel,Los Inválidos,París,Francia,4.3
848,Architecture,Gran Muralla China,Palacio de Verano,Pekín,China,4.3
848,Architecture,Taj Mahal,Tumba de Itimad-ud-Daulah,Agra,India,4.1
